WORD,TEXT,URL
/iлюстp/aт+`ивн*ий ,"#Ілюстративний# постер
 ""Незабаром в школу!""
для класних керівників
початкових класів
 для оформлення класної
 кімнати перед початком
нового навчального року
або для облаштування
навчального осередку першого класу.",https://naurok.com.ua/ilyustrativniy-poster-nezabarom-v-shkolu-117298.html
  a/сoцi/aт+`ивн+iсть  ,"Мімезис та #асоціативність# – поняття, що активно функціонують у контексті естетичного знання різних культурно-історичних періодів. Вони присутні у різноманітних концепціях, присвячених визначенню
специфіки художньої творчості, загальної сутності мистецтва чи окремих його видів. ",http://www.irbis-nbuv.gov.ua/cgi-bin/irbis_nbuv/cgiirbis_64.exe?C21COM=2&I21DBN=UJRN&P21DBN=UJRN&IMAGE_FILE_DOWNLOAD=1&Image_file_name=PDF/vdakkkm_2013_3_3.pdf
a/сoцi/aт+`ивн+o     ,"У статті досліджено #асоціативно#-образне поле запаху, яке об’єднує слова запах, пах, пахощі, запашний, пахне, пахнуть, як засобу виразності тексту в мові повісті «Хризантеми» Уляни Кравченко. ",http://repository.hneu.edu.ua/handle/123456789/14733
/дeклap/aт+`ивн+o   ,"Монографію присвячено з'ясуванню юридичної сутності декларації та актів
#декларативно#-рекомендаційного характеру як джерел права, визначенню їх загальних
ознак та власних специфічних рис, місця в системі джерел права. ",https://dbms.institute/wp-content/uploads/2018/10/Sannikova_deklar_v_sys_dzherel_prava_2014.pdf
a/симiл/ят+`ивн*ий   ,"#Асимілятивний# стиль поведінки характеризується прагненням людини пристосуватись до зовнішніх обставин на шкоду своїм бажанням та можливостям. Неконструктивність цього стилю виявляється в його ригідності, у спробах повністю відповідати бажанням оточуючих.",http://www.rusnauka.com/25_SSN_2009/Psihologia/51620.doc.htm
/aкумул/ят+`ивн*ий   ,"#Акумулятивний# рельєф, сукупність форм рельєфу, що утворюються унаслідок нерівномірного накопичення ( акумуляція ) морських, річкових, озерних, льодовикових і ін. відкладень, а також продуктів вулканічної діяльності (лав, попелів і тому подібне).",http://vseslova.com.ua/word/%D0%90%D0%BA%D1%83%D0%BC%D1%83%D0%BB%D1%8F%D1%82%D0%B8%D0%B2%D0%BD%D0%B8%D0%B9_%D1%80%D0%B5%D0%BB%D1%8C%D1%94%D1%84-1963u
 /кoмпiл/ят+`ивн+iсть   ,"Проаналізовано визначення поняття ""регіон"", переважна більшість з яких є комплексними завдяки комбінуванню різною мірою не лише економічного, а й інших аспектів цього поняття. Показано, що комплексність визначень поняття регіону зумовлює #компілятивність# визначень та виникнення яскраво вираженого релятивізму у понятійно-категоріальному апараті регіоналістики.",http://reposit.nupp.edu.ua/handle/PoltNTU/2902
/xуpд/`иг*a         ,"Ото змовились ми вдвох та й покинули службу в канцелярії. Дрімайло одначе не видержав довго: він перелітував з торбою під монастирями і напросив-таки чимало грошей, але восени, як почалась #хурдига# та смалкі вітри, він застудив собі скривленого рота й щелепи.",http://www.ukrcenter.com/%D0%9B%D1%96%D1%82%D0%B5%D1%80%D0%B0%D1%82%D1%83%D1%80%D0%B0/%D0%86%D0%B2%D0%B0%D0%BD-%D0%9D%D0%B5%D1%87%D1%83%D0%B9-%D0%9B%D0%B5%D0%B2%D0%B8%D1%86%D1%8C%D0%BA%D0%B8%D0%B9/23943/%D0%A0%D0%BE%D0%B7%D0%B4%D1%96%D0%BB-4
 /стap/иг+`aн    ,"Молодіжний народний театр відкриє 47-ий театральний сезон п'єсою Андрія Курейчика за мотивами однойменного оповідання Ґабріеля Ґарсія Маркеса ""#Стариган# із крилами"". Режисер -  Євген Васильєв.",https://radiotrek.rv.ua/news/na_rivnyan_chekaie_starygan_iz_krylamy_199127.html
/xлop/`ид       ,"#Хлорид# натрію, який застосовується в побуті, часто звуть кухонною, харчовою чи столовою сіллю; у назві іноді вказується на джерело її походження (кам'яна, морська, озерна, виварна) та — ґатунок: чим вищий, тим менше домішок містить хлорид натрію.",https://uk.wikipedia.org/wiki/%D0%A5%D0%BB%D0%BE%D1%80%D0%B8%D0%B4_%D0%BD%D0%B0%D1%82%D1%80%D1%96%D1%8E
 aнти/oкс/ид+`aнт*и ,"Таким чином, детоксикація АФК і вільних радикалів у клітині – важливий багатоступінчастий процес, в якому беруть участь низькомолекулярні #антиоксиданти# та антиоксидантні ферменти, зокрема і такі, що поставляють кофактори для біорегенерації ліпідних антиоксидантів і відновлення органічних гідропероксидів. ",https://pidruchniki.com/68402/meditsina/antioksidantni_zasobi
 /пip/ид+`ин ,"Шотландський хімік Томас Андерсон винайшов піридин у 1849 як одне з сполук, що складають кісткове масло. Через два роки Андерсон отримав чистий #піридин#фракційною перегонкою кісткового масла. Це дуже легкозаймиста, безбарвна, водорозчинна, слабо лужна рідина з неприємним відмітним, рибковим запахом.",https://uk.apicmo.com/you-need-to-about-pyridines/
/юp/ид+`ичн*ий   ,"#Юридичний# відділ є структурним підрозділом Університету, який створено у відповідності з Загальним положенням про юридичну службу міністерства, іншого органу виконавчої влади, державного підприємства, установи та організації, затвердженого постановою КМ України від 26 листопада 2008р. № 1040.",https://kneu.edu.ua/ua/University_en/subdivisions/jur_dept/
/юp/ид+`ичн+o         ,"Юридичні акти індивідуального характеру містять точно визначені і персоніфіковані #юридично# владні приписи. Вони також відіграють роль юридичних фактів, з якими пов'язується виникнення, зміна, припинення адміністративно-правових відносин.",https://pidruchniki.com/1959080948212/pravo/harakteristika_okremih_form_publichnogo_administruvannya
/пeпт/`ид+н*ий              ,"#Пептидний# біоліфтинг - процедура ін'єкційної косметології, яка допоможе ефективно позбутися вікових пігментних плям і омолодити шкіру. Вона вкрай необхідна для клієнтів 40+. Завдяки препаратам, які містять комплекс пептидів, запускається процес омолодження шкіри, вона помітно підтягується, освітлюється, розгладжуються зморшки та усуваються набряки.
",https://lumenis.com.ua/uk/peptidnyj-biolifting.html
/пepс/`ид+ськ*ий       ,"Декоративний #персидський# кіт має круглясту голову, маленькі вуха, плоский ніс, великі круглі очі, кучерявий хвіст, і невелике тіло (але об'ємне). Звичайний персидський кіт також круглолиций, але його ніс більш довший.",https://zoosvit.info/koti/persidskii-kit-istoriya-ta-doglyad.html
  /фoсф/aт+`ид  ,"Залежно від характеру спирту, що входить до складу їх молекули, фосфатиди поділяються на дві групи: #фосфатид#-гліцериди, або фосфогліцериди і фосфатиди-негліцериди.",https://studfile.net/preview/5376192/page:14/
 /нуклe/oт+`ид*и      ,"Біля верхівки «листка» містяться три #нуклеотиди#, які відповідають певній амінокислоті за генетичним кодом. Вони називаються антикодоном. А з протилежного боку, біля основи молекули тРНК, є ділянка, до якої приєднується амінокислота.",http://www.znanius.com/4137.html
/eкспepт/`из*a       ,"Детальний аналіз грунту, або грунтознавча #експертиза# дозволяє визначити  її хімічний склад. На    сьогоднішній день грунтознавча експертиза - це дуже необхідна міра при проведенні експертної оцінки ділянки перед забудовою, адже мабуть для кожного важливо чи не знаходитиметься Ваш майбутній будинок на місці звалища.",https://nise.com.ua/runtoznavcha-ekspertiza
/кapбюp/из+`aтop   ,"На дно спеціальної ємкості кладуть спочатку #карбюризатор#, потім деталі, які треба загартувати і зверху ще шар карбюризатору. Потім ця ємкість направляється до високотемпературної печі для подальшої термічної обробки та загартування.",https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B1%D1%8E%D1%80%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80